[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.filehandling.CsvStockReader - Reading stocks from file: C:\Users\LucyCiara\Documents\Projects\IDATT2003v26-millions\target\classes\sp500.csv
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.filehandling.CsvStockReader - Successfully loaded 503 stocks from file
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 0 → 1
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 1
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 1 → 2
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 2
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 2 → 3
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 3
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 3 → 4
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 4
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 4 → 5
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 5
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 5 → 6
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 6
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 6 → 7
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 7
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 7 → 8
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 8
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 8 → 9
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 9
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 9 → 10
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 10
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 10 → 11
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 11
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 11 → 12
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 12
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 12 → 13
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 13
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 13 → 14
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 14
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 14 → 15
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 15
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 15 → 16
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 16
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 16 → 17
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 17
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 17 → 18
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 18
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Advancing week: 18 → 19
[JavaFX Application Thread] INFO edu.ntnu.idi.idatt2003.group18v26.model.property.Exchange - Week advanced successfully to: 19
